nbsujet act10 act100 act1000
878 35 35 47
879 30 30 50
880 33 33 47
881 55 55 37
882 55 55 34
883 34 34 47
884 55 55 31
885 46 46 47
886 53 53 50
887 30 30 50
888 46 46 49
889 31 31 49
890 36 36 44
891 54 54 34
892 55 55 33
893 55 55 35
894 33 33 48
895 34 34 46
896 48 48 46
897 35 35 45
898 55 55 29
899 34 34 51
900 51 51 36
901 33 33 47
902 53 53 49
903 53 53 36
904 55 55 28
905 55 55 31
906 53 53 34
907 56 56 31
908 55 55 33
909 35 35 45
910 55 55 35
911 55 55 28
912 33 33 50
913 54 54 36
914 55 55 28
915 55 55 34
916 55 55 30
917 55 55 32
918 55 55 31
919 56 56 36
920 53 53 35
921 55 55 28
922 57 57 30
923 51 51 37
924 51 51 36
925 55 55 37
926 33 33 47
927 58 58 31
928 55 55 37
929 36 36 45
930 55 55 33
931 52 52 35
932 36 36 44
933 33 33 47
934 49 49 47
935 55 55 32
936 51 51 50
937 55 55 31
938 32 32 48
939 31 31 50
940 52 52 50
941 57 57 31
942 52 52 35
943 32 32 50
944 55 55 31
945 53 53 37
946 54 54 33
947 55 55 47
948 48 48 44
949 48 48 47
950 53 53 34
951 30 30 50
952 48 48 48
953 53 53 34
954 53 53 34
955 54 54 34
956 55 55 30
957 32 32 48
958 32 32 48
959 55 55 28
960 55 55 32
961 33 33 47
962 32 32 48
963 55 55 34
964 56 56 31
965 55 55 28
966 55 55 28
967 32 32 48
968 32 32 48
969 55 55 28
970 55 55 34
971 31 31 50
972 30 30 50
973 50 50 44
974 56 56 31
975 55 55 29
976 31 31 49
977 52 52 35
978 52 52 36
979 58 58 30
980 55 55 28
981 57 57 34
982 56 56 31
983 55 55 29
984 31 31 49
985 57 57 30
986 55 55 29
987 55 55 31
988 55 55 29
989 55 55 29
990 55 55 28
991 56 56 35
992 55 55 35
993 30 30 51
994 36 36 44
995 54 54 50
996 54 54 36
997 55 55 32
998 55 55 30
999 55 55 28
