nbsujet nbséanceia nbséanceprog
1354 21 4681
1355 30 4681
1356 22 4681
1357 23 4681
1358 33 4681
1359 22 4681
1360 83 4681
1361 21 4681
1362 88 4681
1363 35 4681
1364 75 4681
1365 33 4681
1366 21 4681
1367 22 4681
1368 22 4681
1369 36 4681
1370 23 4681
1371 34 4681
1372 33 4681
1373 32 4681
1374 21 4681
1375 20 4681
1376 31 4681
1377 30 4681
1378 50 4681
1379 28 4681
1380 48 4681
1381 33 4681
1382 31 4681
1383 20 4681
1384 57 4681
1385 21 4681
1386 74 4681
1387 44 4681
1388 33 4681
1389 34 4681
1390 88 4681
1391 50 4681
1392 88 4681
1393 23 4681
1394 36 4681
1395 32 4681
1396 34 4681
1397 28 4681
1398 35 4681
1399 23 4681
1400 82 4681
1401 34 4681
1402 28 4681
1403 70 4681
1404 77 4681
1405 23 4681
1406 30 4681
1407 73 4681
1408 79 4681
1409 22 4681
1410 29 4681
1411 20 4681
1412 48 4681
1413 31 4681
1414 46 4681
1415 30 4681
1416 49 4681
1417 28 4681
1418 88 4681
1419 45 4681
1420 31 4681
1421 86 4681
1422 44 4681
1423 32 4681
1424 32 4681
1425 57 4681
1426 59 4681
1427 35 4681
1428 49 4681
1429 80 4681
1430 50 4681
1431 35 4681
1432 18 4681
1433 30 4681
1434 37 4681
1435 37 4681
1436 79 4681
1437 35 4681
1438 21 4681
1439 36 4681
1440 34 4681
1441 44 4681
1442 35 4681
1443 70 4681
1444 21 4681
1445 32 4681
1446 36 4681
1447 31 4681
1448 33 4681
1449 32 4681
1450 82 4681
1451 32 4681
1452 30 4681
1453 28 4681
1454 32 4681
1455 21 4681
1456 32 4681
1457 33 4681
1458 80 4681
1459 44 4681
1460 48 4681
1461 44 4681
1462 36 4681
1463 47 4681
1464 31 4681
1465 32 4681
1466 36 4681
1467 77 4681
1468 18 4681
1469 79 4681
1470 76 4681
1471 75 4681
1472 31 4681
1473 28 4681
1474 79 4681
1475 28 4681
1476 34 4681
1477 28 4681
1478 30 4681
1479 23 4681
1480 79 4681
1481 84 4681
1482 81 4681
1483 44 4681
1484 68 4681
1485 29 4681
1486 81 4681
1487 90 4681
1488 23 4681
1489 92 4681
1490 37 4681
1491 30 4681
1492 23 4681
1493 36 4681
1494 34 4681
1495 18 4681
1496 32 4681
1497 58 4681
1498 35 4681
1499 33 4681
1500 35 4681
1501 30 4681
1502 18 4681
1503 20 4681
1504 44 4681
1505 35 4681
1506 34 4681
1507 23 4681
1508 32 4681
1509 32 4681
1510 31 4681
1511 33 4681
1512 24 4681
1513 22 4681
1514 21 4681
1515 28 4681
1516 50 4681
1517 24 4681
1518 19 4681
1519 79 4681
1520 44 4681
1521 91 4681
1522 20 4681
1523 20 4681
1524 30 4681
1525 76 4681
1526 33 4681
1527 23 4681
1528 28 4681
1529 34 4681
1530 88 4681
1531 89 4681
1532 34 4681
1533 35 4681
1534 81 4681
1535 52 4681
1536 78 4681
1537 90 4681
1538 81 4681
1539 83 4681
1540 60 4681
1541 36 4681
1542 23 4681
1543 69 4681
1544 33 4681
1545 30 4681
1546 22 4681
1547 18 4681
1548 23 4681
1549 20 4681
1550 23 4681
1551 18 4681
1552 36 4681
1553 61 4681
1554 32 4681
1555 33 4681
1556 19 4681
1557 87 4681
1558 37 4681
1559 83 4681
1560 77 4681
1561 45 4681
1562 30 4681
1563 33 4681
1564 36 4681
1565 51 4681
1566 31 4681
1567 28 4681
1568 33 4681
1569 21 4681
1570 33 4681
1571 28 4681
1572 28 4681
1573 21 4681
1574 31 4681
1575 30 4681
1576 30 4681
1577 82 4681
1578 28 4681
1579 77 4681
1580 36 4681
1581 34 4681
1582 44 4681
1583 19 4681
1584 37 4681
1585 56 4681
1586 29 4681
1587 30 4681
1588 36 4681
1589 32 4681
1590 75 4681
1591 82 4681
1592 23 4681
1593 90 4681
1594 35 4681
1595 47 4681
1596 35 4681
1597 79 4681
1598 37 4681
1599 35 4681
1600 84 4681
1601 31 4681
1602 48 4681
1603 51 4681
1604 35 4681
1605 33 4681
1606 31 4681
1607 35 4681
1608 34 4681
1609 88 4681
1610 23 4681
1611 47 4681
1612 79 4681
1613 30 4681
1614 50 4681
1615 90 4681
1616 30 4681
1617 20 4681
1618 84 4681
1619 73 4681
1620 18 4681
1621 88 4681
1622 33 4681
1623 67 4681
1624 22 4681
1625 28 4681
1626 47 4681
1627 71 4681
1628 77 4681
1629 85 4681
1630 31 4681
1631 31 4681
1632 32 4681
1633 33 4681
1634 21 4681
1635 24 4681
1636 23 4681
1637 48 4681
1638 33 4681
1639 48 4681
1640 87 4681
1641 30 4681
1642 33 4681
1643 75 4681
1644 34 4681
1645 29 4681
1646 32 4681
1647 37 4681
1648 35 4681
1649 35 4681
1650 33 4681
1651 93 4681
